149	400	10	57.06
659	1684	3	34.84
101	2650	4	11.34
2294	14	5	8.41
220	572	11	96.36
113	14379	3	30.46
155	614	5	28.04
598	489	3	25.62
101	2497	3	6.44
7341	12	3	11.12
2467	14	10	33.55
119	1137	3	12.4
109	10376	3	24.71
101	4050	3	9.67
790	143	3	13.86
12	1291	7	12.08
7840	103	3	15.89
2638	113	3	15.18
592	117	3	7.45
111	589	4	9.18
195	545	8	59.8
408	106	16	35.84
234	105	24	29.38
3303	14	6	17.28
143	3242	3	23.45
271	474	3	19.26
107	434	30	120.89
3504	14	3	4.76
3077	556	3	37.74
336	132	5	16.34
116	14311	3	31.54
216	961	3	21.56
149	1491	5	36.53
150	2945	4	34.07
1107	12	8	13.45
101	2195	7	24.99
4442	8	3	16.81
183	153	7	16.68
106	570	7	10.07
1150	103	6	13.13
138	105	74	79.32
142	12	109	75.73
118	109	33	11.7
199	151	4	7.34
3573	139	3	23.76
4116	14	3	5.81
559	4010	3	40.14
2636	7532	3	56.28
291	159	14	83.45
1214	113	4	15.68
118	128	27	41.31
203	2	5	4.27
8	3250	10	79.88
347	1302	6	66.15
2376	103	7	29.02
1387	104	6	16.8
1027	113	14	86.77
245	796	5	41.12
6988	131	3	27.56
104	325	21	43.79
280	101	17	14.09
102	228	311	2147.72
11924	14	3	17.2
16	626	4	14.72
3458	103	4	15.14
873	963	3	32.85
102	1743	18	103.93
5776	5138	5	106.69
102	5865	3	12.84
105	2020	20	142.39
12	138	125	107.18
222	243	5	23.41
9503	665	3	49.01
181	200	11	50.68
169	102	35	16.81
5752	125	4	37.65
8	1264	4	13.02
1013	14	10	13.39
111	1198	3	9.62
373	120	6	19.28
3780	106	4	17.62
2	244	6	9.74
4079	109	5	34.87
3208	13965	3	64.41
147	460	3	10.65
243	126	9	27.94
101	2480	4	10.84
104	1918	3	6.32
101	4956	8	57.32
1720	14	6	8.66
133	246	11	41.86
1740	102	7	23.06
848	5	3	26.84
9766	323	3	44
110	8316	3	23.3
120	146	29	73.93
121	760	3	10.47
129	181	6	8.15
215	186	3	7.72
4547	106	3	12.6
168	1163	7	57.04
2482	115	3	15.61
1354	9654	3	53.85
806	724	12	158.77
118	421	5	13.94
232	118	13	35.99
101	13187	3	21.5
196	234	3	9.29
672	150	8	51.84
192	169	8	27.67
941	119	6	30.76
113	745	3	7.09
6514	103	3	14.35
506	150	10	62.55
178	171	3	4.16
523	5840	6	98.09
106	9867	3	19.37
101	5615	3	12.16
102	4436	3	11.04
105	6515	4	23.58
102	565	40	179.62
581	109	4	8
180	142	9	22.03
429	117	6	18.58
339	3357	3	34.84
2645	9	3	13.11
354	59	7	30.36
4663	131	3	24.44
1409	161	23	267.36
1511	1785	10	165.59
411	103	12	16.56
110	2378	3	13.98
472	5062	7	113.33
8	1756	9	52.1
113	1017	5	19.87
4293	102	4	16.44
108	1232	4	11.9
9	429	5	7.76
504	1961	3	34.05
109	4150	6	44.99
201	134	4	5.4
114	3527	4	26.43
944	103	6	10.65
6909	323	4	57.06
140	114	15	10.09
109	8015	4	33.94
322	459	3	20.98
